FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
WFE-XLM-R-T,mean,arabic,KMeans,18.063181442208588,0.1315083121008746,5038.129401779543,1.9463474795577853,0.5298990452003502,0.6326223806354059,0.6326223806354058,0.6461100023953172,0.6196863555886313,0.72428989879699,700,25.47128677368164,5.231962242066359e-05,27.481925283934974,0.036387552533830914,7.474231774380513e-08
WFE-XLM-R-T,mean,arabic,KMeans++,50.046409846283495,0.1437950038991284,5482.268569891555,1.8456287025897604,0.5490488635333731,0.6394882210910848,0.6394882210910847,0.6407061489876776,0.6382749147639725,0.7654924578879033,700,24.87881302833557,5.135225907612264e-05,28.136390558614647,0.035541161469050814,7.336037010874662e-08
WFE-XLM-R-T,mmm,arabic,KMeans,34.327603217214346,0.0772879194157504,3107.48784682598,2.6724525203597547,0.3502302329546909,0.5046658030194691,0.5046658030194692,0.5100749548176845,0.4993701713969511,0.6008786577966702,700,24.896587133407596,5.158813115646813e-05,28.116303501723813,0.03556655304772514,7.36973302235259e-08
WFE-XLM-R-T,mmm,arabic,KMeans++,69.55639682337642,0.0752114757912629,3765.639853036761,2.567990062407136,0.3243540410633545,0.4735920630095006,0.4735920630095006,0.4418773467141619,0.5102112886633188,0.5501893903120775,700,25.208961248397827,5.1949411589375626e-05,27.767903369857773,0.03601280178342547,7.421344512767946e-08
WFE-mBERT-T,mean,arabic,KMeans,101.00021108798684,0.1129637028946867,3961.1882960126686,2.143743530087247,0.2460065896282613,0.4184676847773316,0.4184676847773316,0.4298264144989283,0.4076938375821683,0.5401207626037968,700,27.468202114105225,5.717254716637544e-05,25.48401228053227,0.03924028873443604,8.167506738053634e-08
WFE-mBERT-T,mean,arabic,KMeans++,48.85731574613601,0.0996971748284008,3737.4693352461936,2.2411870418973523,0.2686499555587858,0.4271212061048415,0.4271212061048415,0.4567576298562761,0.4010963298477067,0.5218936477435615,700,24.82376742362976,5.208081093854032e-05,28.198781758391338,0.035462524890899655,7.440115848362904e-08
WFE-mBERT-T,mmm,arabic,KMeans,27.403359229676425,0.0951075486843991,4636.450599982099,2.4159031928937336,0.1600087020161819,0.3313270060714197,0.3313270060714196,0.2957930964656542,0.3765640024124131,0.4340458721538701,700,25.430941581726078,5.34586887101975e-05,27.525524281137876,0.03632991654532297,7.636955530028214e-08
WFE-mBERT-T,mmm,arabic,KMeans++,65.76910713221878,0.0797297719636727,3575.4595260324,2.71830146325944,0.3018589025240036,0.4436135217945376,0.4436135217945376,0.4542012711493942,0.4335081437154898,0.5728509218597952,700,24.90189242362976,5.222939375079397e-05,28.11031338870294,0.035574132033756804,7.461341964399139e-08
WFE-XGLM-T,mean,arabic,KMeans,63.59563922602683,0.2510216542251479,9722.984560515952,1.4699835826906518,0.5678580845970388,0.6945469016021999,0.6945469016022001,0.7501608574536253,0.6466098103893159,0.6676940325174203,700,32.789809703826904,6.622357780398168e-05,21.34809583595427,0.04684258529118129,9.460511114854526e-08
WFE-XGLM-T,mean,arabic,KMeans++,71.76513509172946,0.2534290179967184,10918.825848691422,1.4717587717119098,0.6107531562571253,0.7053429476117354,0.7053429476117354,0.7202840661287464,0.6910090907261305,0.7653300497017551,700,31.48534202575684,6.441972131785162e-05,22.232567758906963,0.044979060036795485,9.20281733112166e-08
WFE-XGLM-T,mmm,arabic,KMeans,63.543307216838,0.1617896389634459,5926.993937713864,2.1224681708742863,0.6110981823599937,0.7078201050451319,0.707820105045132,0.6687116988166184,0.7517870228339878,0.7149414754084334,700,32.01285767555237,6.545044216915317e-05,21.866214103546813,0.04573265382221767,9.350063167021881e-08
