FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-XLM-R-T,mean,arabic,KMeans,5.26802225690335,0.0888924404191468,2213.3491383572537,2.668488830120345,0.5876614023683646,0.7338264138150958,0.7338264138150958,0.8388145346510973,0.6521959418532355,0.686786003842994,700,59.60488796234131,0.0002857993550424,11.744003284466599,0.08514983994620187,4.0828479291771427e-07
FE-XLM-R-T,mean,arabic,KMeans++,14.784246287308632,0.1142421054421866,3521.336665797416,2.5273431814659704,0.6934119945408577,0.7506962322485498,0.7506962322485498,0.7452262183734745,0.756247140482095,0.84882571014208,700,60.068177700042725,0.0002867437801625,11.653424938168252,0.08581168242863246,4.0963397166071423e-07
FE-XLM-R-T,mmm,arabic,KMeans,37.55374883301556,0.1088572022168896,4418.289524387833,2.3608080755864966,0.0810450994228089,0.19401856522663,0.19401856522663,0.1415404225668969,0.3083400709775832,0.2088897963033678,700,59.359246253967285,0.0002848342577437,11.792602571216365,0.08479892321995326,4.06906082491e-07
FE-XLM-R-T,mmm,arabic,KMeans++,98.28431292437016,0.0519709274831302,1611.4306704569235,3.091251206557021,0.3504206046408361,0.5366280326667507,0.5366280326667506,0.5893845410515528,0.4925401779349076,0.5476457150007371,700,59.974069356918335,0.0002860733168719,11.671710916165324,0.08567724193845476,4.0867616695985715e-07
FE-mBERT-T,mean,arabic,KMeans,13.707376910373569,0.106948327133902,2982.3059131554764,2.347642486148345,0.358352787598687,0.5129329422450372,0.512932942245037,0.547737195307904,0.4822874869283286,0.580372623210245,700,56.66320776939392,0.000259714757564,12.353695238166488,0.08094743967056274,3.710210822342857e-07
FE-mBERT-T,mean,arabic,KMeans++,6.014189005829394,0.0987465173242648,2239.882860102545,2.41230873755519,0.3577083011389238,0.5411541444749864,0.5411541444749864,0.6316546324004758,0.4733367009099794,0.531304941708761,700,55.41213011741638,0.0002623234974138,12.632613085198571,0.0791601858820234,3.747478534482857e-07
FE-mBERT-T,mmm,arabic,KMeans,76.44307533372194,0.0524092139080493,1874.388078642784,3.4721083651269566,0.3035381396426197,0.4687087491610074,0.4687087491610074,0.5280767305013385,0.4213403896995634,0.5495120554522934,700,55.45198392868042,0.000260434122975,12.623533919008292,0.07921711989811489,3.7204874710714285e-07
FE-mBERT-T,mmm,arabic,KMeans++,51.48302877694368,0.0599454546850776,2758.6760262045077,3.324241836038857,0.2239148295525441,0.3920617129040817,0.3920617129040818,0.388966317351781,0.3952067700042416,0.4540006169133715,700,55.5120210647583,0.0002652579060401,12.609881365756896,0.079302887235369,3.7893986577157143e-07
FE-XGLM-T,mean,arabic,KMeans,34.83579484559596,0.1935547721495155,6563.172859830346,1.8769066550144484,0.5010554281403723,0.6817677643071853,0.6817677643071854,0.6021235816457302,0.7856930797526037,0.5788879675818347,700,209.74946308135983,0.0011195071018654,3.3373148599120688,0.29964209011622833,1.5992958598077143e-06
FE-XGLM-T,mean,arabic,KMeans++,90.06698517035693,0.1228821712788174,3223.1373259664074,2.418795791874932,0.5060913063388456,0.7052662717027703,0.7052662717027703,0.854640808209112,0.6003387693457086,0.6584052559991608,700,210.5582902431488,0.00112533793305,3.324495080158815,0.3007975574902126,1.6076256186428572e-06
