FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
WEFE-XLM-R-T,mean,arabic,KMeans,24.424354420043528,0.0712627752688846,2957.459212291252,2.552370958696909,0.4029329673603904,0.5218619139148218,0.521861913914822,0.5208506184433029,0.5228771441349661,0.6674227460618671,700,16.404467582702637,3.635665443552865e-05,42.67130258699167,0.023434953689575197,5.193807776504093e-08
WEFE-XLM-R-T,mean,arabic,KMeans++,44.83186175022274,0.0666676570011577,1927.092375879375,2.616632711561277,0.3864196627354232,0.5581689288110248,0.5581689288110248,0.6331113669686912,0.4990907342923381,0.5969752532494882,700,13.833388090133669,3.1701007983047424e-05,50.602209338669404,0.01976198298590524,4.528715426149632e-08
WEFE-XLM-R-T,mmm,arabic,KMeans,170.65396550763398,0.0407506689819083,1666.7361817549106,3.293047408081992,0.3850553102675622,0.5568351685367962,0.5568351685367962,0.6252670870721578,0.5019045738798772,0.5363520067572218,700,17.860804319381714,3.909787106005493e-05,39.191964005808664,0.025515434741973878,5.5854101514364186e-08
WEFE-XLM-R-T,mmm,arabic,KMeans++,77.88591169007123,0.0525624623567367,2164.516586571837,3.0093279449266714,0.3489634875674754,0.5060363705258163,0.5060363705258163,0.5112346590648943,0.5009427314048703,0.514101298167285,700,17.876929998397827,3.94911553175685e-05,39.15661134561335,0.02553847142628261,5.641593616795499e-08
WEFE-XLM-R-T,tfidfw,arabic,KMeans,24.785056246444583,0.0699543544394462,2879.9457072376504,2.5036038302139154,0.3700263210102361,0.5017371322189995,0.5017371322189995,0.509745486310762,0.4939765164548144,0.6124233006476728,700,14.420243501663208,3.281182325939288e-05,48.54286960683175,0.020600347859518867,4.6874033227704116e-08
WEFE-XLM-R-T,tfidfw,arabic,KMeans++,96.30244517605752,0.0811182878267044,3369.8162615112,2.5536008587865298,0.3846874543281176,0.5004657332538218,0.5004657332538218,0.4825690683739781,0.5197409633827009,0.582698270335576,700,14.42112684249878,3.2921207098887293e-05,48.539896198479695,0.020601609774998256,4.7030295855553274e-08
WEFE-XLM-R-T,sif,arabic,KMeans,93.06907603610308,0.0642987785184424,2750.614394497489,2.8581478069952766,0.4263201925396824,0.5420972511716762,0.5420972511716763,0.5352488103947549,0.5491232131759537,0.6855544000411653,700,14.505157947540283,3.3355774694525165e-05,48.258695460720766,0.020721654210771833,4.765110670646452e-08
WEFE-XLM-R-T,sif,arabic,KMeans++,93.6784211890772,0.063864901162556,2750.6459194305057,2.86087268300332,0.4196608154807665,0.5384277752108858,0.5384277752108858,0.5315077330090768,0.5455303874001877,0.6804432147798716,700,14.345284938812256,3.3266103184238006e-05,48.7965211556096,0.02049326419830322,4.752300454891144e-08
WEFE-XLM-R-T,borep,arabic,KMeans,27.07166597433388,0.0566018366619027,1886.3260743374576,3.1522614641726423,0.363707232427761,0.5246081220367169,0.5246081220367168,0.5744559058352778,0.4827205716658502,0.6087566303669486,700,21.75516390800476,6.453600309297205e-05,32.17626872222446,0.031078805582863946,9.219429013281722e-08
WEFE-XLM-R-T,borep,arabic,KMeans++,170.26330013480035,0.057788581020123,2503.385604671182,3.050075328524442,0.3453476987438739,0.5076859873245437,0.5076859873245438,0.5121120261898655,0.5033357989003129,0.582123763069329,700,21.81609272956848,6.497363558299596e-05,32.08640560329365,0.0311658467565264,9.281947940427994e-08
