embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XLM-R-T,merged,2,RandomForest,reg,mean,6120,57.298433275995194,0.0008855189741351749,2025-08-21 19:01:43.888866
XLM-R-T,merged,2,RandomForest,reg,mmm,6120,56.83272751700133,0.0008766122512782224,2025-08-21 19:02:41.232754
BGE-M3-S,merged,2,RandomForest,reg,mean,6120,130.28164025799197,0.002125593343637091,2025-08-21 19:04:52.034942
BGE-M3-S,merged,2,RandomForest,reg,mmm,6120,129.91549316499732,0.0021219146190958826,2025-08-21 19:07:02.468708
MiniLM-S,merged,2,RandomForest,reg,mean,6120,61.35654033499304,0.0006891346855281532,2025-08-21 19:08:04.342384
MiniLM-S,merged,2,RandomForest,reg,mmm,6120,64.35926653299248,0.0007223666205403275,2025-08-21 19:09:09.218431
mE5-S,merged,2,RandomForest,reg,mean,6120,63.13273893299629,0.0006992310855750285,2025-08-21 19:10:12.868476
mE5-S,merged,2,RandomForest,reg,mmm,6120,62.12319084200135,0.0006828629979618405,2025-08-21 19:11:15.508831
MPNet-S,merged,2,RandomForest,reg,mean,6120,64.48488862799422,0.0009744507857475452,2025-08-21 19:12:20.515614
MPNet-S,merged,2,RandomForest,reg,mmm,6120,67.2475452459912,0.0010108383026055697,2025-08-21 19:13:28.280361
mBERT-T,merged,2,XGBoost,reg,mean,6120,61.49076686499757,0.000973497804578584,2025-08-21 19:14:30.276976
mBERT-T,merged,2,XGBoost,reg,mmm,6120,62.33205925600487,0.0009805893891695833,2025-08-21 19:15:33.115227
mT5-T,merged,2,XGBoost,reg,mean,6120,69.48408060400106,0.0010712783231052278,2025-08-21 19:16:43.117112
mT5-T,merged,2,XGBoost,reg,mmm,6120,67.86738539300859,0.0010556766194415046,2025-08-21 19:17:51.500362
XGLM-T,merged,2,XGBoost,reg,mean,6120,142.48438049599645,0.002374708501106519,2025-08-21 19:20:14.495268
XGLM-T,merged,2,XGBoost,reg,mmm,6120,143.71287733998906,0.00238867963485337,2025-08-21 19:22:38.720232
