embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mDeBERTa-T,bengali,-1,KMeans,reg,mmm,450,22.005265474319458,4.81420486489364e-05,2025-08-25 19:00:43.721463
XLM-R-T,bengali,-1,KMeans,reg,mean,450,19.388880491256714,4.176943122673453e-05,2025-08-25 19:01:03.112553
XLM-R-T,bengali,-1,KMeans,reg,mmm,450,19.628787517547607,4.501334391286498e-05,2025-08-25 19:01:22.743774
BGE-M3-S,bengali,-1,KMeans,reg,mean,450,19.646422863006592,4.730134809832824e-05,2025-08-25 19:01:42.392957
BGE-M3-S,bengali,-1,KMeans,reg,mmm,450,20.592044591903687,4.336284190187852e-05,2025-08-25 19:02:02.987672
MiniLM-S,bengali,-1,KMeans,reg,mean,450,17.25287437438965,3.706069646863376e-05,2025-08-25 19:02:20.243074
MiniLM-S,bengali,-1,KMeans,reg,mmm,450,17.47138023376465,3.715865676449794e-05,2025-08-25 19:02:37.725229
mE5-S,bengali,-1,KMeans,reg,mean,450,17.166890859603882,3.6875435282588e-05,2025-08-25 19:02:54.894890
mE5-S,bengali,-1,KMeans,reg,mmm,450,17.113468170166016,3.716237150563134e-05,2025-08-25 19:03:12.011013
MPNet-S,bengali,-1,KMeans,reg,mean,450,19.273083686828613,4.094656795740127e-05,2025-08-25 19:03:31.286644
MPNet-S,bengali,-1,KMeans,reg,mmm,450,19.613089323043823,4.1634230168528024e-05,2025-08-25 19:03:50.902022
mBERT-T,bengali,-1,KMeans++,reg,mean,450,20.484252452850342,4.4164901798864214e-05,2025-08-25 19:04:11.388335
mBERT-T,bengali,-1,KMeans++,reg,mmm,450,20.53588080406189,4.4125903436594546e-05,2025-08-25 19:04:31.926398
mT5-T,bengali,-1,KMeans++,reg,mean,450,21.648301601409912,4.6557593396429035e-05,2025-08-25 19:04:53.577043
mT5-T,bengali,-1,KMeans++,reg,mmm,450,21.8450186252594,4.609992422584503e-05,2025-08-25 19:05:15.424466
XGLM-T,bengali,-1,KMeans++,reg,mean,450,25.409512996673584,5.198475798405011e-05,2025-08-25 19:05:40.836207
XGLM-T,bengali,-1,KMeans++,reg,mmm,450,25.906999349594116,5.33056661506282e-05,2025-08-25 19:06:06.745555
mDeBERTa-T,bengali,-1,KMeans++,reg,mean,450,21.54276728630066,4.569403314057481e-05,2025-08-25 19:06:28.290843
mDeBERTa-T,bengali,-1,KMeans++,reg,mmm,450,21.865596532821655,4.641435628039181e-05,2025-08-25 19:06:50.158781
XLM-R-T,bengali,-1,KMeans++,reg,mean,450,19.340238332748413,4.139942011297795e-05,2025-08-25 19:07:09.501483
XLM-R-T,bengali,-1,KMeans++,reg,mmm,450,19.598978996276855,4.154553745039722e-05,2025-08-25 19:07:29.103267
BGE-M3-S,bengali,-1,KMeans++,reg,mean,450,20.172338247299194,4.299145537546276e-05,2025-08-25 19:07:49.278117
BGE-M3-S,bengali,-1,KMeans++,reg,mmm,450,20.159364700317383,4.3031563908709416e-05,2025-08-25 19:08:09.440105
MiniLM-S,bengali,-1,KMeans++,reg,mean,450,17.68373727798462,3.7633998007088704e-05,2025-08-25 19:08:27.126200
MiniLM-S,bengali,-1,KMeans++,reg,mmm,450,17.51952052116394,3.7632903386155766e-05,2025-08-25 19:08:44.648334
mE5-S,bengali,-1,KMeans++,reg,mean,450,17.334655284881592,3.6810367094247166e-05,2025-08-25 19:09:01.985388
mE5-S,bengali,-1,KMeans++,reg,mmm,450,17.396058797836304,3.653627146468443e-05,2025-08-25 19:09:19.383952
MPNet-S,bengali,-1,KMeans++,reg,mean,450,19.19225025177002,4.052370687663207e-05,2025-08-25 19:09:38.578477
MPNet-S,bengali,-1,KMeans++,reg,mmm,450,19.33625054359436,4.113787303149699e-05,2025-08-25 19:09:57.917531
mBERT-T,chinese,-1,KMeans,reg,mean,750,8.349098443984985,1.611607919090324e-05,2025-08-25 19:10:06.281730
mBERT-T,chinese,-1,KMeans,reg,mmm,750,8.42122507095337,1.6588058967888357e-05,2025-08-25 19:10:14.704804
mT5-T,chinese,-1,KMeans,reg,mean,750,9.16732907295227,1.7695491591095924e-05,2025-08-25 19:10:23.874662
mT5-T,chinese,-1,KMeans,reg,mmm,750,9.169603109359741,1.7723371145695814e-05,2025-08-25 19:10:33.046543
XGLM-T,chinese,-1,KMeans,reg,mean,750,9.52143144607544,1.8474515718795637e-05,2025-08-25 19:10:42.570557
XGLM-T,chinese,-1,KMeans,reg,mmm,750,9.609907388687134,1.863402566957621e-05,2025-08-25 19:10:52.183039
mDeBERTa-T,chinese,-1,KMeans,reg,mean,750,9.173012971878052,1.763738237991009e-05,2025-08-25 19:11:01.358503
mDeBERTa-T,chinese,-1,KMeans,reg,mmm,750,9.264423131942749,1.812738792816798e-05,2025-08-25 19:11:10.625108
XLM-R-T,chinese,-1,KMeans,reg,mean,750,9.392330169677734,1.8152997146771276e-05,2025-08-25 19:11:20.020065
XLM-R-T,chinese,-1,KMeans,reg,mmm,750,9.505941390991211,1.8075078125765296e-05,2025-08-25 19:11:29.528225
BGE-M3-S,chinese,-1,KMeans,reg,mean,750,9.390604019165039,1.8386165035918908e-05,2025-08-25 19:11:38.921030
BGE-M3-S,chinese,-1,KMeans,reg,mmm,750,9.42251992225647,1.825874971601698e-05,2025-08-25 19:11:48.345879
