embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mDeBERTa-T,bengali,-1,KMeans,reg,mmm,1800,170.37274028299726,0.0029569381000823522,2025-08-22 12:33:52.620350
XLM-R-T,bengali,-1,KMeans,reg,mean,1800,85.92617158999201,0.0014093756768967301,2025-08-22 12:35:19.054508
XLM-R-T,bengali,-1,KMeans,reg,mmm,1800,86.22990862099687,0.0014144883619856027,2025-08-22 12:36:45.793616
BGE-M3-S,bengali,-1,KMeans,reg,mean,1800,191.99112960899947,0.003249179975201784,2025-08-22 13:10:36.627431
BGE-M3-S,bengali,-1,KMeans,reg,mmm,1800,192.60522085099365,0.0032670915012797223,2025-08-22 13:13:49.739041
MiniLM-S,bengali,-1,KMeans,reg,mean,1800,34.45589861701592,0.0004934210170151398,2025-08-22 13:14:24.704637
MiniLM-S,bengali,-1,KMeans,reg,mmm,1800,34.611143999994965,0.0004933245959539346,2025-08-22 13:14:59.822320
mE5-S,bengali,-1,KMeans,reg,mean,1800,41.907871895004064,0.000620636284721064,2025-08-22 13:15:42.241701
mE5-S,bengali,-1,KMeans,reg,mmm,1800,41.56851250398904,0.0006185700060635307,2025-08-22 13:16:24.317884
MPNet-S,bengali,-1,KMeans,reg,mean,1800,69.96763443000964,0.0011178680767019147,2025-08-22 13:17:34.792830
MPNet-S,bengali,-1,KMeans,reg,mmm,1800,71.22101952199591,0.0011363660649726254,2025-08-22 13:18:46.521438
mBERT-T,bengali,-1,KMeans++,reg,mean,1800,105.0203906139941,0.0017585069182968992,2025-08-22 13:20:32.047462
mBERT-T,bengali,-1,KMeans++,reg,mmm,1800,105.3938191300258,0.0017612380979956613,2025-08-22 13:22:17.945403
mT5-T,bengali,-1,KMeans++,reg,mean,1800,200.48006089701084,0.003474787067649962,2025-08-22 13:25:38.941226
mT5-T,bengali,-1,KMeans++,reg,mmm,1800,200.6379974320007,0.003515141762989062,2025-08-22 13:29:00.093481
XGLM-T,bengali,-1,KMeans++,reg,mean,1800,364.5082415009965,0.006272486242813021,2025-08-22 13:35:05.104580
XGLM-T,bengali,-1,KMeans++,reg,mmm,1800,363.60652523400495,0.006273010309596292,2025-08-22 13:41:09.218364
mDeBERTa-T,bengali,-1,KMeans++,reg,mean,1800,171.59339205900324,0.002907672633372639,2025-08-22 13:44:01.330062
mDeBERTa-T,bengali,-1,KMeans++,reg,mmm,1800,171.48429197998485,0.002902649149267663,2025-08-22 13:46:53.330661
XLM-R-T,bengali,-1,KMeans++,reg,mean,1800,85.38436311899568,0.0014128183530553653,2025-08-22 13:48:19.225001
XLM-R-T,bengali,-1,KMeans++,reg,mmm,1800,88.60928439500276,0.0014476986264563834,2025-08-22 13:49:48.344014
BGE-M3-S,bengali,-1,KMeans++,reg,mean,1800,193.60879243002273,0.0032836738032722746,2025-08-22 13:53:02.471517
BGE-M3-S,bengali,-1,KMeans++,reg,mmm,1800,193.3190160789818,0.0032769604370955483,2025-08-22 13:56:16.306190
MiniLM-S,bengali,-1,KMeans++,reg,mean,1800,34.9133898029977,0.0004987474059903724,2025-08-22 13:56:51.735936
MiniLM-S,bengali,-1,KMeans++,reg,mmm,1800,34.8831303390034,0.0004994424464732408,2025-08-22 13:57:27.133562
mE5-S,bengali,-1,KMeans++,reg,mean,1800,41.88713001902215,0.0006192864810302942,2025-08-22 13:58:09.539040
mE5-S,bengali,-1,KMeans++,reg,mmm,1800,41.801277958991705,0.0006229452507635933,2025-08-22 13:58:51.859647
MPNet-S,bengali,-1,KMeans++,reg,mean,1800,71.11248288801289,0.0011914751824076706,2025-08-22 14:00:03.492055
MPNet-S,bengali,-1,KMeans++,reg,mmm,1800,71.15543168201111,0.0011957225380370897,2025-08-22 14:01:15.168355
mBERT-T,chinese,-1,KMeans,reg,mean,3000,24.526189043011982,0.0002801114963032217,2025-08-22 14:01:40.210652
mBERT-T,chinese,-1,KMeans,reg,mmm,3000,24.44477678500698,0.00027883873579660404,2025-08-22 14:02:05.162001
mT5-T,chinese,-1,KMeans,reg,mean,3000,28.130886066006497,0.0003200266608987505,2025-08-22 14:02:33.814360
mT5-T,chinese,-1,KMeans,reg,mmm,3000,27.266451937000966,0.0003118056314067976,2025-08-22 14:03:01.602387
XGLM-T,chinese,-1,KMeans,reg,mean,3000,38.017534142010845,0.0005632474373291818,2025-08-22 14:03:40.138635
XGLM-T,chinese,-1,KMeans,reg,mmm,3000,39.85221558099147,0.0005780087331369386,2025-08-22 14:04:20.504032
mDeBERTa-T,chinese,-1,KMeans,reg,mean,3000,28.03706856101053,0.00040511142568127256,2025-08-22 14:04:49.062389
mDeBERTa-T,chinese,-1,KMeans,reg,mmm,3000,28.510699814010877,0.00040475427421333103,2025-08-22 14:05:18.093282
XLM-R-T,chinese,-1,KMeans,reg,mean,3000,24.883002441987628,0.00027702461535198503,2025-08-22 14:05:43.491110
XLM-R-T,chinese,-1,KMeans,reg,mmm,3000,24.264339114015456,0.00027364555705204646,2025-08-22 14:06:08.269023
