FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
fasttext,mean,merged,2,LightGBM,0.9638727940870369,0.9638420636442284,0.879153941348108,0.8789286026044113,73.96610474586487,,,3000,113.9110951423645,0.0002268863568172,26.336328311571773,0.03797036504745483,7.562878560573333e-08
fasttext,mean,merged,2,LogisticRegression,0.8213281459923628,0.8207205289668632,0.8204906958525869,0.8198205565942072,68.61522674560547,,,3000,102.3476231098175,0.0002073877228016,29.311867817204156,0.03411587436993917,6.912924093386667e-08
fasttext,mean,merged,2,RandomForest,0.9832269247217418,0.9832271064301652,0.8508157449562325,0.8501208627636617,101.94619727134705,,,3000,108.46084213256836,0.0002155413782701,27.659752045196107,0.03615361404418945,7.184712609003333e-08
fasttext,mean,merged,2,XGBoost,0.8917546256523599,0.8917454602586861,0.8651210844809774,0.865079335946041,17.71995711326599,,,3000,101.76264142990112,0.0002036306727078,29.480366840384548,0.033920880476633705,6.787689090260001e-08
fasttext,mean,merged,2,GaussianNB,0.6530599887220748,0.6523233206011503,0.6519942324504139,0.6511841612818023,2.855928659439087,,,3000,101.7443027496338,0.0002036067879618,29.48568046490247,0.03391476758321127,6.78689293206e-08
fasttext,mean,merged,2,linear,0.7261579442900774,0.6952314593526827,0.723503923176016,0.6917241541860782,104.75601768493652,602,19,3000,101.87804460525513,0.0002035461178752,29.446972717468633,0.033959348201751706,6.78487059584e-08
fasttext,mean,merged,2,microffn,0.816956391944336,0.8101510541073014,0.7728071202716946,0.7637132225691935,40.61619877815247,40490,16,3000,102.56617641448976,0.0002047645784725,29.249408575751325,0.03418872547149659,6.825485949083333e-08
fasttext,mean,merged,2,resmicro,0.7849450019519141,0.7767195064405431,0.7667174142171215,0.7573189776061457,131.45830059051514,98882,16,3000,101.98845887184144,0.0002037717532648,29.415092974096176,0.03399615295728048,6.792391775493333e-08
fasttext,mmm,merged,2,LightGBM,0.9760855002970864,0.976071436567774,0.8886567740324027,0.8884687941569005,136.94179701805115,,,3000,102.80986380577087,0.0002049845710579,29.18007950742568,0.03426995460192363,6.832819035263333e-08
fasttext,mmm,merged,2,LogisticRegression,0.836576052196357,0.8360870773485518,0.8335358030858661,0.8330090921499901,268.5240242481232,,,3000,103.12020754814148,0.000207287168737,29.092261074042696,0.03437340251604716,6.909572291233333e-08
fasttext,mmm,merged,2,RandomForest,0.9246157747139836,0.9243235683283776,0.8456272210174957,0.8447433793174667,152.02772426605225,,,3000,106.03007698059082,0.0002099802831267,28.293858548731986,0.03534335899353027,6.99934277089e-08
fasttext,mmm,merged,2,XGBoost,0.89822240219806,0.8981839856582069,0.8724894696806276,0.8724217954623477,53.04365563392639,,,3000,102.596253156662,0.0002045280336953,29.240833926157833,0.034198751052220665,6.817601123176667e-08
fasttext,mmm,merged,2,GaussianNB,0.6097080985342482,0.610584372133718,0.6065691027373153,0.6074528452858438,11.234590530395508,,,3000,102.1506941318512,0.0002033990512268,29.368376059469007,0.03405023137728373,6.779968374226667e-08
fasttext,mmm,merged,2,linear,0.7636346935494982,0.7619370189797691,0.7487996252488581,0.746931295853169,71.0044436454773,1802,19,3000,102.40611147880554,0.0002046695191305,29.295126596237317,0.034135370492935184,6.822317304349999e-08
fasttext,mmm,merged,2,microffn,0.7812708108480493,0.7825975923766854,0.7247921302260217,0.726252040890723,418.9300081729889,75642,16,3000,102.1897909641266,0.0002047959798441,29.357140000933562,0.03406326365470887,6.82653266147e-08
fasttext,mmm,merged,2,resmicro,0.7968172319562771,0.7915034769454982,0.7221571612601008,0.7143511806015553,280.8775403499603,468770,18,3000,101.93835020065308,0.0002045354529474,29.429552215578042,0.03397945006688436,6.817848431580001e-08
fasttext,tfidfw,merged,2,LightGBM,0.9562734404862376,0.9562264748102708,0.8643036365081347,0.8640201935198196,68.68681263923645,,,3000,101.19150924682616,0.0002032941461773,29.64675615898173,0.03373050308227538,6.776471539243333e-08
fasttext,tfidfw,merged,2,LogisticRegression,0.7991545340665246,0.7982150411604046,0.7978859887146766,0.7968553724604485,39.91177487373352,,,3000,100.80869245529176,0.0002031962538926,29.759338475007873,0.033602897485097254,6.773208463086667e-08
fasttext,tfidfw,merged,2,RandomForest,0.9871439222201618,0.987144830566113,0.8362038624416717,0.8350865658132597,90.957417011261,,,3000,106.37800431251526,0.0002112932518484,28.201318678499153,0.03545933477083842,7.043108394946667e-08
fasttext,tfidfw,merged,2,XGBoost,0.8624887883042618,0.8623817624199256,0.8393374130042348,0.8391761561813389,21.485631704330444,,,3000,100.3981957435608,0.0002013816327113,29.881015069859057,0.0334660652478536,6.712721090376667e-08
fasttext,tfidfw,merged,2,GaussianNB,0.6689247747253371,0.6696668419476146,0.668604321120812,0.6693417323061183,3.966271162033081,,,3000,100.78753638267516,0.0002022680461424,29.765585187135144,0.03359584546089172,6.742268204746667e-08
fasttext,tfidfw,merged,2,linear,0.7372034812960709,0.7161307072158325,0.7319358238669633,0.7098198496466963,40.38775420188904,602,16,3000,100.30377459526062,0.0002015283032578,29.90914362002236,0.03343459153175354,6.717610108593333e-08
fasttext,tfidfw,merged,2,microffn,0.8426298022825912,0.8401830067560813,0.7633212319943787,0.7585868207380153,36.33137392997742,33938,17,3000,100.82391452789308,0.0002029051018458,29.754845505131083,0.033607971509297695,6.76350339486e-08
