embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mBERT-T,arabic,-1,KMeans,reg,mean,700,58.03362250328064,0.00026442596710354307,2025-08-30 03:25:21.693565,NA
mBERT-T,arabic,-1,KMeans,reg,mmm,700,56.139049768447876,0.0002628310223155174,2025-08-30 03:26:17.834253,NA
mT5-T,arabic,-1,KMeans,reg,mean,700,151.9293134212494,0.0007198627692694097,2025-08-30 03:28:49.767981,NA
mT5-T,arabic,-1,KMeans,reg,mmm,700,151.88303685188293,0.0007226850982138284,2025-08-30 03:31:21.665219,NA
XGLM-T,arabic,-1,KMeans,reg,mean,700,212.83695816993713,0.0011187570082513754,2025-08-30 03:34:54.508060,NA
XGLM-T,arabic,-1,KMeans,reg,mmm,700,212.5729260444641,0.001125235754150142,2025-08-30 03:38:27.096310,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mean,700,120.03618621826172,0.0005998199128991199,2025-08-30 03:40:27.134852,NA
mDeBERTa-T,arabic,-1,KMeans,reg,mmm,700,119.88490152359009,0.0005984350320566167,2025-08-30 03:42:27.022178,NA
XLM-R-T,arabic,-1,KMeans,reg,mean,700,59.98418140411377,0.0002823549129203561,2025-08-30 03:43:27.008805,NA
XLM-R-T,arabic,-1,KMeans,reg,mmm,700,59.91240906715393,0.00028175424345245687,2025-08-30 03:44:26.923980,NA
BGE-M3-S,arabic,-1,KMeans,reg,mean,700,136.63633227348328,0.0006640155640149314,2025-08-30 03:46:43.563184,NA
BGE-M3-S,arabic,-1,KMeans,reg,mmm,700,135.0457067489624,0.0006611483555174336,2025-08-30 03:48:58.620210,NA
MiniLM-S,arabic,-1,KMeans,reg,mean,700,49.25830388069153,0.00011965757757422755,2025-08-30 03:49:47.882481,NA
MiniLM-S,arabic,-1,KMeans,reg,mmm,700,51.27104735374451,0.00011877911073188633,2025-08-30 03:50:39.157881,NA
mE5-S,arabic,-1,KMeans,reg,mean,700,57.51919174194336,0.00014576389893145817,2025-08-30 03:51:36.681404,NA
mE5-S,arabic,-1,KMeans,reg,mmm,700,57.86568880081177,0.0001456794173148102,2025-08-30 03:52:34.551624,NA
MPNet-S,arabic,-1,KMeans,reg,mean,700,57.25769829750061,0.00021474380311790946,2025-08-30 03:53:31.813823,NA
MPNet-S,arabic,-1,KMeans,reg,mmm,700,56.65747356414795,0.00021358761127297343,2025-08-30 03:54:28.475582,NA
mBERT-T,arabic,-1,KMeans++,reg,mean,700,55.750823736190796,0.0002615243537950414,2025-08-30 03:55:24.230162,NA
mBERT-T,arabic,-1,KMeans++,reg,mmm,700,56.377217054367065,0.0002647909056602134,2025-08-30 03:56:20.611059,NA
mT5-T,arabic,-1,KMeans++,reg,mean,700,153.04955196380615,0.0007239677200632267,2025-08-30 03:58:53.666648,NA
mT5-T,arabic,-1,KMeans++,reg,mmm,700,152.1803879737854,0.0007245050802558109,2025-08-30 04:01:25.861805,NA
XGLM-T,arabic,-1,KMeans++,reg,mean,700,212.40849614143372,0.001119847720898762,2025-08-30 04:04:58.277345,NA
XGLM-T,arabic,-1,KMeans++,reg,mmm,700,213.10019183158875,0.0011271335505413746,2025-08-30 04:08:31.393480,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mean,700,119.83035564422607,0.0005990771203212634,2025-08-30 04:10:31.227375,NA
mDeBERTa-T,arabic,-1,KMeans++,reg,mmm,700,119.7452552318573,0.0005990024706033513,2025-08-30 04:12:30.976266,NA
XLM-R-T,arabic,-1,KMeans++,reg,mean,700,60.21626162528992,0.0002832833482072763,2025-08-30 04:13:31.196318,NA
XLM-R-T,arabic,-1,KMeans++,reg,mmm,700,59.547186851501465,0.00028147710065155705,2025-08-30 04:14:30.746860,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mean,700,135.28662300109863,0.0006616378280132594,2025-08-30 04:16:46.037184,NA
BGE-M3-S,arabic,-1,KMeans++,reg,mmm,700,136.02724742889404,0.0006629401318434175,2025-08-30 04:19:02.068077,NA
MiniLM-S,arabic,-1,KMeans++,reg,mean,700,51.642056941986084,0.0001222960612727005,2025-08-30 04:19:53.714909,NA
MiniLM-S,arabic,-1,KMeans++,reg,mmm,700,51.27302002906799,0.00011901123518545388,2025-08-30 04:20:44.992801,NA
mE5-S,arabic,-1,KMeans++,reg,mean,700,58.320329427719116,0.0001466483425901632,2025-08-30 04:21:43.317624,NA
mE5-S,arabic,-1,KMeans++,reg,mmm,700,58.31876254081726,0.00014582042102676254,2025-08-30 04:22:41.641125,NA
MPNet-S,arabic,-1,KMeans++,reg,mean,700,59.03222608566284,0.0002171565732466838,2025-08-30 04:23:40.678032,NA
MPNet-S,arabic,-1,KMeans++,reg,mmm,700,60.03415036201477,0.00021824473825567426,2025-08-30 04:24:40.716624,NA
mBERT-T,bengali,-1,KMeans,reg,mean,900,87.16732382774353,0.00041418507678459536,2025-08-30 04:26:07.993193,NA
mBERT-T,bengali,-1,KMeans,reg,mmm,900,87.80439567565918,0.00041938046932236305,2025-08-30 04:27:35.801732,NA
mT5-T,bengali,-1,KMeans,reg,mean,900,215.74057722091675,0.0010500467492303009,2025-08-30 04:31:11.557225,NA
mT5-T,bengali,-1,KMeans,reg,mmm,900,214.86450338363647,0.001051565793439138,2025-08-30 04:34:46.428547,NA
XGLM-T,bengali,-1,KMeans,reg,mean,900,316.5101397037506,0.001685383107523599,2025-08-30 04:40:02.946358,NA
XGLM-T,bengali,-1,KMeans,reg,mmm,900,317.1019060611725,0.0016899597994505609,2025-08-30 04:45:20.064796,NA
mDeBERTa-T,bengali,-1,KMeans,reg,mean,900,181.8645920753479,0.0009185724918450069,2025-08-30 04:48:21.934003,NA
mDeBERTa-T,bengali,-1,KMeans,reg,mmm,900,181.5433211326599,0.0009149058509382122,2025-08-30 04:51:23.481841,NA
XLM-R-T,bengali,-1,KMeans,reg,mean,900,83.91302943229675,0.00040260413302803746,2025-08-30 04:52:47.398981,NA
XLM-R-T,bengali,-1,KMeans,reg,mmm,900,84.2451651096344,0.0004021692670179114,2025-08-30 04:54:11.648205,NA
BGE-M3-S,bengali,-1,KMeans,reg,mean,900,207.92982840538025,0.0010306778657740072,2025-08-30 04:57:39.582108,NA
BGE-M3-S,bengali,-1,KMeans,reg,mmm,900,207.4436330795288,0.0010303830003124666,2025-08-30 05:01:07.030442,NA
MiniLM-S,bengali,-1,KMeans,reg,mean,900,67.65372824668884,0.00016568661441394237,2025-08-30 05:02:14.689864,NA
MiniLM-S,bengali,-1,KMeans,reg,mmm,900,68.78081774711609,0.0001636029060511437,2025-08-30 05:03:23.476308,NA
