embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date,mdata
mT5-T,merged,2,RandomForest,reg,mmm,3600,35.523460149765015,7.39213336140508e-05,2025-08-29 01:02:04.646703,2158/3600
XGLM-T,merged,2,RandomForest,reg,mean,3600,45.16995716094971,9.189189178737766e-05,2025-08-29 01:02:49.820630,2731/3600
XGLM-T,merged,2,RandomForest,reg,mmm,3600,44.484792709350586,9.03701807606992e-05,2025-08-29 01:03:34.308822,2768/3600
mDeBERTa-T,merged,2,RandomForest,reg,mean,3600,35.96345281600952,7.566251591636449e-05,2025-08-29 01:04:10.275555,2209/3600
mDeBERTa-T,merged,2,RandomForest,reg,mmm,3600,33.653515577316284,7.11328185978863e-05,2025-08-29 01:04:43.931324,2362/3600
XLM-R-T,merged,2,RandomForest,reg,mean,3600,33.895732164382935,6.923363684475046e-05,2025-08-29 01:05:17.831525,2753/3600
XLM-R-T,merged,2,RandomForest,reg,mmm,3600,34.13373565673828,6.97652658164497e-05,2025-08-29 01:05:51.968743,2723/3600
BGE-M3-S,merged,2,RandomForest,reg,mean,3600,34.247408866882324,6.983968256216744e-05,2025-08-29 01:06:26.219724,2923/3600
BGE-M3-S,merged,2,RandomForest,reg,mmm,3600,34.52810454368591,7.019310067549025e-05,2025-08-29 01:07:00.751263,2921/3600
MiniLM-S,merged,2,RandomForest,reg,mean,3600,32.556894063949585,6.618887725810925e-05,2025-08-29 01:07:33.311476,2767/3600
MiniLM-S,merged,2,RandomForest,reg,mmm,3600,32.62099599838257,6.55081294122055e-05,2025-08-29 01:08:05.935711,2700/3600
mE5-S,merged,2,RandomForest,reg,mean,3600,33.19976854324341,6.75105254111038e-05,2025-08-29 01:08:39.138872,2777/3600
mE5-S,merged,2,RandomForest,reg,mmm,3600,32.69919538497925,6.632445240541654e-05,2025-08-29 01:09:11.841556,2820/3600
MPNet-S,merged,2,RandomForest,reg,mean,3600,33.17928194999695,6.754945038546797e-05,2025-08-29 01:09:45.023983,2863/3600
MPNet-S,merged,2,RandomForest,reg,mmm,3600,33.84836411476135,6.846997293025161e-05,2025-08-29 01:10:18.875663,2888/3600
mBERT-T,merged,2,XGBoost,reg,mean,3600,27.42317223548889,6.275919826421471e-05,2025-08-29 01:10:46.301671,2647/3600
