FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-XLM-R-T,mean,merged,2,LightGBM,0.9235371811999258,0.92344415441243,0.9044040009536892,0.9042906806387694,58.47361469268799,,,5100,37.04238815000281,0.0005055479137956,137.68010797110588,0.007263213362745649,9.912704192070589e-08
FE-XLM-R-T,mean,merged,2,LogisticRegression,0.9088910166406164,0.9088109537874988,0.9064249139976612,0.9063460975931515,1116.670433998108,,,5100,36.55759254196892,0.0005595213005555,139.50590411950918,0.0071681554003860636,1.0971005893245097e-07
FE-XLM-R-T,mean,merged,2,RandomForest,0.9856225376845436,0.985623297250935,0.8840699826292305,0.8835386583197877,161.7896227836609,,,5100,37.87072665098822,0.0004769587980271,134.66865970122382,0.007425632676664356,9.35213329464902e-08
FE-XLM-R-T,mean,merged,2,XGBoost,0.9273217198457422,0.9273256373433596,0.9021333121402376,0.9021377486148828,36.05658173561096,,,5100,34.62602318200516,0.0004457213259984,147.28806635381753,0.006789416310197091,8.739633843105882e-08
FE-XLM-R-T,mean,merged,2,GaussianNB,0.7626299515957508,0.7629558353250732,0.7634169325264819,0.763737924603314,9.648880004882812,,,5100,34.5250535949599,0.0004423846093615,147.7188148592626,0.0067696183519529215,8.674208026696079e-08
FE-XLM-R-T,mean,merged,2,linear,0.8829597770238381,0.8830574395659001,0.8816857593751064,0.8817708138403316,215.7136583328247,1538,17,5100,39.920218279992696,0.0004999484958081,127.7548124669456,0.007827493780390724,9.802911682511766e-08
FE-XLM-R-T,mean,merged,2,microffn,0.9032805278764726,0.9032355644237864,0.8986818651437913,0.8986316295677764,302.59506821632385,92906,16,5100,34.62326171901077,0.0004538838126503,147.2998136741033,0.006788874846864857,8.899682600986275e-08
FE-XLM-R-T,mean,merged,2,resmicro,0.9088059555294348,0.9087885285631172,0.9009525539572428,0.9009336833585894,589.2909500598907,350882,31,5100,34.68575993302511,0.0004518206740181,147.03440287448257,0.006801129398632375,8.859228902315685e-08
FE-XLM-R-T,mmm,merged,2,LightGBM,0.9934149027562796,0.9934139594775452,0.9070493534213604,0.9069570308531304,344.1465048789978,,,5100,35.261786103015766,0.0004830950546476,144.6324921006716,0.0069140757064736795,9.472452051913726e-08
FE-XLM-R-T,mmm,merged,2,LogisticRegression,0.9129631802235147,0.9128871419917004,0.9076851462891268,0.9076126616100584,6388.929872274399,,,5100,36.51968946598936,0.0005797246380853,139.65069458626175,0.0071607234247037955,1.136714976637843e-07
FE-XLM-R-T,mmm,merged,2,RandomForest,0.98977796111765,0.9897793975041346,0.8793469498972514,0.8786476583390419,195.56526851654053,,,5100,38.276972775987815,0.0004757302176444,133.23937684014993,0.007505288779605454,9.328043483223529e-08
FE-XLM-R-T,mmm,merged,2,XGBoost,0.913742795184553,0.913753494452534,0.900873079848772,0.9008831778886482,111.82987642288208,,,5100,35.00123452296248,0.000468401560437,145.70914624894607,0.006862987161365191,9.184344322294118e-08
FE-XLM-R-T,mmm,merged,2,GaussianNB,0.6879761422683768,0.6878489664478729,0.6882003655808989,0.6880664385454591,29.67369747161865,,,5100,34.698724384012166,0.0004457848206612,146.97946655208696,0.006803671447845523,8.740878836494118e-08
FE-XLM-R-T,mmm,merged,2,linear,0.8893623273582133,0.889471930542733,0.8874646624053406,0.8875730019059325,672.3199517726898,4610,18,5100,34.98812483303482,0.0004645403976461,145.76374196495152,0.006860416633928395,9.108635247962745e-08
FE-XLM-R-T,mmm,merged,2,microffn,0.9152485774583924,0.9152198342728344,0.9037909149740574,0.9037760524773802,620.3512840270996,187962,17,5100,34.94337628298672,0.0004708325293161,145.9504072731259,0.006851642408428768,9.232010378747058e-08
FE-XLM-R-T,mmm,merged,2,resmicro,0.9013481865377252,0.9012339568865504,0.8968766675370974,0.8967584339888641,758.2103652954102,756194,17,5100,34.83853473101044,0.0004642058619398,146.3896240004719,0.006831085241374596,9.102075724309804e-08
FE-mBERT-T,mean,merged,2,LightGBM,0.9628888140391244,0.9628587571206666,0.8416535155939554,0.841261225906063,144.1058750152588,,,5100,39.48577610502252,0.0005655560721932,129.1604345431946,0.007742309040200495,1.1089334748886275e-07
FE-mBERT-T,mean,merged,2,LogisticRegression,0.8306305419837795,0.8301787163310332,0.8301184164216215,0.8296845952817165,1133.2541012763977,,,5100,38.81361981801456,0.0006383858270724,131.39717511307558,0.007610513689806776,1.2517369158282354e-07
FE-mBERT-T,mean,merged,2,RandomForest,0.9847785855665264,0.9847825975303496,0.8146663790460836,0.8133069401927238,341.672434091568,,,5100,39.936343502951786,0.0005484304606186,127.70322850470893,0.007830655588814076,1.0753538443501961e-07
FE-mBERT-T,mean,merged,2,XGBoost,0.8471349150181847,0.846988618470504,0.825781400787929,0.8255973851755387,40.89699506759644,,,5100,37.40552025195211,0.0005273865175059,136.34351201769056,0.007334415735676884,1.0340912107958825e-07
FE-mBERT-T,mean,merged,2,GaussianNB,0.6996476594520745,0.7003206158008266,0.7003144904006631,0.7009857197658083,9.965946435928345,,,5100,36.572888652968686,0.0005120492006044,139.44755768111918,0.0071711546378369975,1.0040180404007844e-07
FE-mBERT-T,mean,merged,2,linear,0.8175673870648893,0.8138932638913835,0.817061955744275,0.8134085982652602,263.7161560058594,1538,16,5100,36.75139713700628,0.0005104614907021,138.77023452979506,0.00720615630137378,1.0009048837296078e-07
